category_list,Automotive & Sports,Blanks,Cleantech / Semiconductors,Entertainment,Health,Manufacturing,"News, Search and Messaging",Others,"Social, Finance, Analytics, Advertising"
College Recruiting,0,0,0,0,0,0,0,0,1
Colleges,0,0,0,0,0,0,0,0,1
Comics,0,0,0,1,0,0,0,0,0
Commercial Real Estate,0,0,0,0,0,0,1,0,0
Commercial Solar,0,0,1,0,0,0,0,0,0
Commodities,0,0,1,0,0,0,0,0,0
Communications Hardware,0,0,0,0,0,1,0,0,0
Communications Infrastructure,0,0,0,0,0,1,0,0,0
Communities,0,0,0,0,0,0,0,0,1
Comparison Shopping,0,0,0,0,0,0,1,0,0
Computer Vision,0,0,0,0,0,1,0,0,0
Computers,0,0,0,0,0,1,0,0,0
Concentrated Solar Power,0,0,1,0,0,0,0,0,0
Concerts,0,0,0,1,0,0,0,0,0
Console Gaming,0,0,0,1,0,0,0,0,0
Construction,0,0,0,0,0,1,0,0,0
Consulting,0,0,0,0,0,0,0,0,1
Consumer Behavior,0,0,0,0,0,0,0,0,1
Consumer Electronics,0,0,0,0,0,1,0,0,0
Consumer Goods,0,0,0,0,0,1,0,0,0
Consumer Internet,0,0,0,0,0,0,0,0,1
Consumer Lending,0,0,0,0,0,0,0,0,1
Consumers,0,0,0,0,0,0,0,0,1
Contact Centers,0,0,0,0,0,0,0,0,1
Contact Ma0gement,0,0,0,0,0,0,0,0,1
Content,0,0,0,1,0,0,0,0,0
Content Creators,0,0,0,1,0,0,0,0,0
Content Delivery,0,0,0,1,0,0,0,0,0
Content Discovery,0,0,0,1,0,0,0,0,0
Content Syndication,0,0,0,1,0,0,0,0,0
Contests,0,0,0,1,0,0,0,0,0
Cooking,0,0,0,0,1,0,0,0,0
Corporate IT,0,0,0,0,0,0,0,0,1
Corporate Training,0,0,0,0,0,0,0,0,1
Corporate Wellness,0,0,0,0,1,0,0,0,0
Cosmetic Surgery,0,0,0,0,1,0,0,0,0
Cosmetics,0,0,0,0,1,0,0,0,0
Coupons,0,0,0,0,0,0,0,0,1
Coworking,0,0,0,0,0,0,0,0,1
Craft Beer,0,0,0,1,0,0,0,0,0
Creative,0,0,0,1,0,0,0,0,0
Creative Industries,0,0,0,1,0,0,0,0,0
Credit,0,0,0,0,0,0,0,0,1
Credit Cards,0,0,0,0,0,0,0,0,1
CRM,0,0,0,0,0,0,0,0,1
Crowdfunding,0,0,0,0,0,0,0,0,1
Crowdsourcing,0,0,0,0,0,0,0,0,1
Curated Web,0,0,0,0,0,0,1,0,0
Custom Retail,0,0,0,0,0,0,0,0,1
Customer Service,0,0,0,0,0,0,0,0,1
Customer Support Tools,0,0,0,0,0,0,0,0,1
Cyber,0,0,0,0,0,0,0,0,1
Cyber Security,0,0,0,0,0,0,0,0,1
Data Center Automation,0,0,0,0,0,0,0,0,1
Data Center Infrastructure,0,0,0,0,0,0,0,0,1
Data Centers,0,0,0,0,0,0,0,0,1
Data Integration,0,0,0,0,0,0,0,0,1
Data Mining,0,0,0,0,0,0,0,0,1
Data Privacy,0,0,0,0,0,0,0,0,1
Data Security,0,0,0,0,0,0,0,0,1
Data Visualization,0,0,0,0,0,0,0,0,1
Databases,0,0,0,0,0,0,0,0,1
Debt Collecting,0,0,0,0,0,0,0,0,1
Defense,0,0,0,0,0,1,0,0,0
Delivery,0,0,0,0,0,0,1,0,0
Demographies,0,0,0,0,0,0,1,0,0
Dental,0,0,0,0,1,0,0,0,0
Design,1,0,0,0,0,0,0,0,0
Designers,1,0,0,0,0,0,0,0,0
Developer APIs,0,0,0,0,0,0,0,0,1
Developer Tools,0,0,0,0,0,0,0,0,1
Development Platforms,0,0,0,0,0,0,0,0,1
Diabetes,0,0,0,0,1,0,0,0,0
Diagnostics,0,0,0,0,1,0,0,0,0
Dietary Supplements,0,0,0,0,1,0,0,0,0
Digital Entertainment,0,0,0,1,0,0,0,0,0
Digital Media,0,0,0,1,0,0,0,0,0
Digital Rights Ma0gement,0,0,0,1,0,0,0,0,0
Digital Sig0ge,0,0,0,1,0,0,0,0,0
Direct Advertising,0,0,0,0,0,0,0,0,1
Direct Marketing,0,0,0,0,0,0,1,0,0
Direct Sales,0,0,0,0,0,0,1,0,0
Discounts,0,0,0,0,0,0,0,0,1
Displays,0,0,0,0,0,1,0,0,0
Disruptive Models,0,0,1,0,0,0,0,0,0
Distribution,0,0,0,0,0,0,0,1,0
Distributors,0,0,0,0,0,0,0,1,0
DIY,0,0,0,0,0,0,0,1,0
Doctors,0,0,0,0,1,0,0,0,0
Document Ma0gement,0,0,0,0,0,0,0,1,0
DOD/Military,0,0,0,0,0,1,0,0,0
Domains,0,0,0,0,0,0,1,0,0
Drones,1,0,0,0,0,0,0,0,0
E-Books,0,0,0,1,0,0,0,0,0
E-Commerce,0,0,0,0,0,0,0,1,0
E-Commerce Platforms,0,0,0,0,0,0,0,1,0
Early-Stage Technology,0,0,1,0,0,0,0,0,0
EBooks,0,0,0,1,0,0,0,0,0
EDA Tools,0,0,0,0,0,0,0,1,0
Ediscovery,0,0,0,0,0,0,0,1,0
EdTech,0,0,0,0,0,0,0,1,0
Education,0,0,0,0,0,0,0,1,0
Educatio0l Games,0,0,0,1,0,0,0,0,0
Edutainment,0,0,0,1,0,0,0,0,0
Elder Care,0,0,0,0,1,0,0,0,0
Electric Vehicles,1,0,0,0,0,0,0,0,0
Electrical Distribution,0,0,0,0,0,1,0,0,0
Electronic Health Records,0,0,0,0,1,0,0,0,0
Electronics,0,0,0,0,0,1,0,0,0
Email,0,0,0,0,0,0,1,0,0
Email Marketing,0,0,0,0,0,0,0,0,1
Email Newsletters,0,0,0,0,0,0,0,0,1
Embedded Hardware and Software,0,0,0,0,0,1,0,0,0
Emerging Markets,0,0,0,0,0,0,0,1,0
Employer Benefits Programs,0,0,0,0,0,0,0,0,1
Employment,0,0,0,0,0,0,0,1,0
Energy,0,0,1,0,0,0,0,0,0
Energy Efficiency,0,0,1,0,0,0,0,0,0
Energy IT,0,0,1,0,0,0,0,0,0
Energy Ma0gement,0,0,1,0,0,0,0,0,0
Energy Storage,0,0,1,0,0,0,0,0,0
Engineering Firms,0,0,0,0,0,0,0,1,0
Enterprise 2.0,0,0,0,0,0,0,0,1,0
Enterprise Application,0,0,0,0,0,0,0,1,0
Enterprise Purchasing,0,0,0,0,0,0,0,0,1
Enterprise Resource Planning,0,0,0,0,0,0,0,1,0
Enterprise Search,0,0,0,0,0,0,1,0,0
Enterprise Security,0,0,0,0,0,0,0,1,0
Enterprise Software,0,0,0,0,0,0,0,1,0
Enterprises,0,0,0,0,0,0,0,1,0
Entertainment,0,0,0,1,0,0,0,0,0
Entertainment Industry,0,0,0,1,0,0,0,0,0
Entrepreneur,0,0,0,0,0,0,0,1,0
Environmental Innovation,0,0,1,0,0,0,0,0,0
Estimation and Quoting,0,0,0,0,0,0,0,0,1
Event Ma0gement,0,0,0,1,0,0,0,0,0
Events,0,0,0,1,0,0,0,0,0
Exercise,0,0,0,0,1,0,0,0,0
Eyewear,0,0,0,0,1,0,0,0,0
Face Recognition,0,0,0,0,0,0,0,0,1
Facebook Applications,0,0,0,0,0,0,0,0,1
Families,0,0,0,0,0,0,0,1,0
Fantasy Sports,0,0,0,1,0,0,0,0,0
Farmers Market,0,0,0,0,0,1,0,0,0
Farming,0,0,0,0,0,1,0,0,0
Fashion,0,0,0,1,0,0,0,0,0
Fertility,0,0,1,0,0,0,0,0,0
Field Support Services,0,0,0,0,0,0,0,1,0
File Sharing,0,0,0,0,0,0,0,1,0
Film,0,0,0,1,0,0,0,0,0
Film Distribution,0,0,0,1,0,0,0,0,0
Film Production,0,0,0,1,0,0,0,0,0
Fi0nce,0,0,0,0,0,0,0,0,1
Fi0nce Technology,0,0,0,0,0,0,0,0,1
Fi0ncial Exchanges,0,0,0,0,0,0,0,0,1
Fi0ncial Services,0,0,0,0,0,0,0,0,1
FinTech,0,0,0,0,0,0,0,0,1
Fitness,0,0,0,0,1,0,0,0,0
Flash Sales,0,0,0,0,0,0,0,1,0
Flash Storage,0,0,0,0,0,0,0,1,0
Fleet Ma0gement,0,0,0,0,0,0,0,1,0
Flowers,0,0,0,0,0,0,0,1,0
Fmcg,0,0,0,0,0,1,0,0,0
Food Processing,0,0,0,0,0,1,0,0,0
Forums,0,0,0,0,0,0,1,0,0
Fraud Detection,0,0,0,0,0,0,0,0,1
Freelancers,0,0,0,0,0,0,0,1,0
Freemium,0,0,0,0,0,0,0,0,1
FreetoPlay Gaming,0,0,0,1,0,0,0,0,0
Fruit,0,0,0,0,0,0,0,1,0
Fuel Cells,0,0,1,0,0,0,0,0,0
Fuels,1,0,0,0,0,0,0,0,0
Funeral Industry,0,0,1,0,0,0,0,0,0
Furniture,0,0,0,0,0,1,0,0,0
Gadget,0,0,0,0,0,1,0,0,0
Gambling,0,0,0,1,0,0,0,0,0
Game,0,0,0,1,0,0,0,0,0
Game Mechanics,0,0,0,1,0,0,0,0,0
Games,0,0,0,1,0,0,0,0,0
Gamification,0,0,0,1,0,0,0,0,0
Gas,0,0,1,0,0,0,0,0,0
Gay & Lesbian,0,0,0,0,0,0,0,1,0
General Public Worldwide,0,0,0,0,0,0,0,1,0
Genetic Testing,0,0,0,0,1,0,0,0,0
Geospatial,0,0,0,0,0,0,0,1,0
Gift Card,0,0,0,0,0,0,0,1,0
Gift Exchange,0,0,0,0,0,0,0,1,0
Gift Registries,0,0,0,0,0,0,0,1,0
Gold,0,0,0,0,0,0,0,0,1
Gover0nce,0,0,0,0,0,0,0,1,0
Government Innovation,0,0,0,0,0,0,0,1,0
Governments,0,0,0,0,0,0,0,1,0
Gps,0,0,0,0,0,0,1,0,0
Graphics,0,0,0,0,0,0,1,0,0
Green,0,0,1,0,0,0,0,0,0
Green Consumer Goods,0,0,1,0,0,0,0,0,0
Groceries,0,0,0,0,0,1,0,0,0
Group Buying,0,0,0,0,0,0,0,0,1
Group SMS,0,0,0,0,0,0,1,0,0
Guides,0,0,0,0,0,0,0,1,0
Handmade,0,0,0,0,0,1,0,0,0
Hardware,0,0,0,0,0,1,0,0,0
Hardware + Software,0,0,0,0,0,1,0,0,0
Health and Insurance,0,0,0,0,1,0,0,0,0
Health and Wellness,0,0,0,0,1,0,0,0,0
Health Care,0,0,0,0,1,0,0,0,0
Health Care Information Technology,0,0,0,0,1,0,0,0,0
Health Diagnostics,0,0,0,0,1,0,0,0,0
Health Services Industry,0,0,0,0,1,0,0,0,0
Healthcare Services,0,0,0,0,1,0,0,0,0
Heavy Industry,1,0,0,0,0,0,0,0,0
Hedge Funds,0,0,0,0,0,0,0,0,1
High School Students,0,0,0,0,0,0,0,1,0
High Schools,0,0,0,0,0,0,0,1,0
High Tech,0,0,0,0,0,0,0,1,0
Home & Garden,0,0,1,0,0,0,0,0,0
Home Automation,0,0,1,0,0,0,0,0,0
Home Decor,0,0,1,0,0,0,0,0,0
Home Owners,0,0,0,0,0,0,0,1,0
Home Renovation,0,0,0,0,0,0,0,1,0
Homeland Security,0,0,0,0,0,0,0,1,0
Homeless Shelter,0,0,0,0,0,0,0,1,0
Hospitality,0,0,0,0,0,0,0,1,0
Hospitals,0,0,0,0,1,0,0,0,0
Hotels,0,0,0,1,0,0,0,0,0
Human Computer Interaction,0,0,0,0,0,0,0,1,0
Human Resource Automation,0,0,0,0,0,0,0,1,0
Human Resources,0,0,0,0,0,0,0,1,0
Humanitarian,0,0,0,0,0,0,0,1,0
IaaS,0,0,0,0,0,0,0,1,0
ICT,0,0,0,0,0,0,0,1,0
Identity,0,0,0,0,0,0,0,1,0
Identity Ma0gement,0,0,0,0,0,0,0,0,1
Image Recognition,0,0,0,0,0,0,0,0,1
Impact Investing,0,0,0,0,0,0,0,0,1
In-Flight Entertainment,0,0,0,1,0,0,0,0,0
Incentives,0,0,0,0,0,0,0,0,1
Incubators,0,0,0,0,0,0,0,0,1
Independent Music Labels,0,0,0,1,0,0,0,0,0
Independent Pharmacies,0,0,0,0,1,0,0,0,0
Indians,0,0,0,0,0,0,0,1,0
Indoor Positioning,0,0,0,0,0,0,0,1,0
Industrial,0,0,0,0,0,1,0,0,0
Industrial Automation,1,0,0,0,0,0,0,0,0
Information Security,0,0,0,0,0,0,0,0,1
Information Services,0,0,0,0,0,0,0,0,1
Information Technology,0,0,0,0,0,0,0,0,1
Infrastructure,0,0,0,0,0,0,0,0,1
Innovation Engineering,0,0,0,0,0,0,0,0,1
Innovation Ma0gement,0,0,0,0,0,0,0,0,1
Insurance,0,0,0,0,0,0,0,0,1
Intellectual Asset Ma0gement,0,0,0,0,0,0,0,1,0
Intellectual Property,0,0,0,0,0,0,0,1,0
Intelligent Systems,0,0,0,0,0,0,0,1,0
Interest Graph,0,0,0,0,0,0,0,1,0
Interface Design,0,0,0,1,0,0,0,0,0
Interior Design,0,0,0,1,0,0,0,0,0
Internet,0,0,0,0,0,0,1,0,0
Internet Infrastructure,0,0,0,0,0,0,1,0,0
Internet Marketing,0,0,0,0,0,0,0,0,1
Internet of Things,0,0,0,0,0,0,0,0,1
Internet Radio Market,0,0,0,0,0,0,1,0,0
Internet Service Providers,0,0,0,0,0,0,1,0,0
Investment Ma0gement,0,0,0,0,0,0,0,0,1
iOS,0,0,0,0,0,0,0,1,0
iPad,0,0,0,0,0,0,0,1,0
iPhone,0,0,0,0,0,0,0,1,0
IT and Cybersecurity,0,0,0,0,0,0,0,1,0
IT Ma0gement,0,0,0,0,0,0,0,1,0
Jewelry,0,0,0,1,0,0,0,0,0
Jour0lism,0,0,0,0,0,0,1,0,0
K-12 Education,0,0,0,0,0,0,0,1,0
Kids,0,0,0,0,0,0,0,1,0
Knowledge Ma0gement,0,0,0,0,0,0,0,1,0
Landscaping,0,0,0,0,0,0,0,1,0
Language Learning,0,0,0,0,0,0,0,1,0
Lasers,0,0,0,0,1,0,0,0,0
Law Enforcement,0,0,0,0,0,0,0,1,0
Lead Generation,0,0,0,0,0,0,0,1,0
Lead Ma0gement,0,0,0,0,0,0,0,1,0
Legal,0,0,0,0,0,0,0,1,0
Leisure,0,0,0,1,0,0,0,0,0
Licensing,0,0,0,0,0,0,0,1,0
Life Sciences,0,0,0,0,0,0,0,1,0
Lifestyle,0,0,0,1,0,0,0,0,0
Lifestyle Businesses,0,0,0,1,0,0,0,0,0
Lifestyle Products,0,0,0,1,0,0,0,0,0
Lighting,0,0,1,0,0,0,0,0,0
Limousines,1,0,0,0,0,0,0,0,0
Linux,0,0,0,0,0,0,0,1,0
Local,0,0,0,0,0,0,0,1,0
Local Advertising,0,0,0,0,0,0,0,0,1
Local Based Services,0,0,0,0,0,0,0,1,0
Local Businesses,0,0,0,0,0,0,0,1,0
Local Commerce,0,0,0,0,0,0,0,1,0
Local Search,0,0,0,0,0,0,1,0,0
Location Based Services,0,0,0,0,0,0,0,1,0
Logistics,0,0,0,0,0,0,0,1,0
Logistics Company,0,0,0,0,0,0,0,1,0
Lotteries,0,0,0,0,0,0,0,0,1
Low Bid Auctions,0,0,0,0,0,0,0,1,0
Loyalty Programs,0,0,0,0,0,0,0,1,0
M2M,0,0,0,0,0,0,0,1,0
Machine Learning,0,0,0,0,0,0,0,0,1
Manufacturing,0,0,0,0,0,1,0,0,0
Maps,0,0,0,0,0,0,1,0,0
Market Research,0,0,0,0,0,0,0,0,1
Marketing Automation,0,0,0,0,0,0,0,0,1
Marketplaces,0,0,0,0,0,0,0,1,0
Mass Customization,0,0,0,0,0,0,0,1,0
Match-Making,0,0,0,0,0,0,0,1,0
Material Science,0,0,1,0,0,0,0,0,0
Mechanical Solutions,0,0,1,0,0,0,0,0,0
Media,0,0,0,1,0,0,0,0,0
Medical,0,0,0,0,1,0,0,0,0
Medical Devices,0,0,0,0,1,0,0,0,0
Medical Professio0ls,0,0,0,0,1,0,0,0,0
Meeting Software,0,0,0,0,0,0,1,0,0
Mens Specific,0,0,0,0,1,0,0,0,0
Messaging,0,0,0,0,0,0,1,0,0
mHealth,0,0,0,0,1,0,0,0,0
Micro-Enterprises,0,0,0,0,0,0,0,1,0
MicroBlogging,0,0,0,0,0,0,1,0,0
Minerals,0,0,1,0,0,0,0,0,0
Mining Technologies,0,0,1,0,0,0,0,0,0
Mobile,0,0,0,0,0,0,1,0,0
Mobile Advertising,0,0,0,0,0,0,0,0,1
Mobile A0lytics,0,0,0,0,0,0,0,0,1
Mobile Commerce,0,0,0,0,0,0,0,0,1
Mobile Devices,0,0,0,0,0,0,1,0,0
Mobile Enterprise,0,0,0,0,0,0,1,0,0
Mobile Games,0,0,0,1,0,0,0,0,0
Mobile Health,0,0,0,0,1,0,0,0,0
Mobile Infrastructure,0,0,0,0,0,1,0,0,0
Mobile Payments,0,0,0,0,0,0,0,0,1
Mobile Security,0,0,0,0,0,0,0,1,0
Mobile Shopping,0,0,0,0,0,0,0,0,1
Mobile Social,0,0,0,0,0,0,1,0,0
Mobile Software Tools,0,0,0,0,0,1,0,0,0
Mobile Video,0,0,0,1,0,0,0,0,0
Mobility,0,0,0,0,0,0,0,1,0
Monetization,0,0,0,0,0,0,0,0,1
Moneymaking,0,0,0,0,0,0,0,0,1
Multi-level Marketing,0,0,0,0,0,0,0,0,1
Music,0,0,0,1,0,0,0,0,0
Music Education,0,0,0,1,0,0,0,0,0
Music Services,0,0,0,1,0,0,0,0,0
Music Venues,0,0,0,1,0,0,0,0,0
Musical Instruments,0,0,0,1,0,0,0,0,0
Musicians,0,0,0,1,0,0,0,0,0
0notechnology,0,0,1,0,0,0,0,0,0
0tural Language Processing,0,0,1,0,0,0,0,0,0
0tural Resources,0,0,1,0,0,0,0,0,0
0vigation,0,0,0,0,0,0,1,0,0
Network Security,0,0,0,0,0,0,0,1,0
Networking,0,0,0,0,0,0,0,1,0
Neuroscience,0,0,0,0,1,0,0,0,0
New Product Development,0,0,0,0,0,1,0,0,0
New Technologies,0,0,0,0,0,1,0,0,0
News,0,0,0,0,0,0,1,0,0
Non-Tech,0,0,0,0,0,0,0,1,0
Non Profit,0,0,0,0,0,0,0,1,0
Nonprofits,0,0,0,0,0,0,0,1,0
Nutrition,0,0,0,0,1,0,0,0,0
Office Space,0,0,0,0,0,0,0,1,0
Oil,0,0,0,0,0,0,0,1,0
Oil & Gas,0,0,0,0,0,0,0,1,0
Oil and Gas,0,0,0,0,0,0,0,1,0
Online Dating,0,0,0,0,0,0,1,0,0
Online Education,0,0,0,0,0,0,0,1,0
Online Gaming,0,0,0,1,0,0,0,0,0
Online Identity,0,0,0,0,0,0,0,1,0
Online Rental,0,0,0,0,0,0,1,0,0
Online Reservations,0,0,0,0,0,0,1,0,0
Online Scheduling,0,0,0,0,0,0,1,0,0
Online Shopping,0,0,0,0,0,0,1,0,0
Online Travel,0,0,0,0,0,0,1,0,0
Online Video Advertising,0,0,0,1,0,0,0,0,0
Open Source,0,0,0,0,0,0,0,1,0
Opinions,0,0,0,0,0,0,0,1,0
Optical Communications,0,0,0,0,0,1,0,0,0
Optimization,0,0,0,0,0,0,0,1,0
Organic,0,0,0,0,1,0,0,0,0
Organic Food,0,0,0,0,1,0,0,0,0
Outdoors,0,0,0,0,1,0,0,0,0
Outsourcing,0,0,0,0,0,0,0,1,0
P2P Money Transfer,0,0,0,0,0,0,0,0,1
PaaS,0,0,0,0,0,0,0,0,1
Parenting,0,0,0,0,0,0,0,1,0
Parking,0,0,0,0,0,0,0,1,0
Payments,0,0,0,0,0,0,0,0,1
Peer-to-Peer,0,0,0,0,0,0,1,0,0
Performance Marketing,0,0,0,0,0,0,0,0,1
Perso0l Branding,0,0,0,0,0,0,0,0,1
Perso0l Data,0,0,0,0,0,0,0,1,0
Perso0l Fi0nce,0,0,0,0,0,0,0,0,1
Perso0l Health,0,0,0,0,1,0,0,0,0
Perso0lization,0,0,0,0,0,0,0,1,0
Pervasive Computing,0,0,0,0,0,0,0,1,0
Pets,0,0,0,0,1,0,0,0,0
Pharmaceuticals,0,0,0,0,1,0,0,0,0
Photo Editing,0,0,0,1,0,0,0,0,0
Photo Sharing,0,0,0,1,0,0,0,0,0
Photography,0,0,0,1,0,0,0,0,0
Physical Security,0,0,0,0,0,0,0,1,0
Physicians,0,0,0,0,1,0,0,0,0
Plumbers,0,0,0,0,0,0,0,1,0
Point of Sale,0,0,0,0,0,0,0,1,0
Politics,0,0,0,0,0,0,0,1,0
Polling,0,0,0,0,0,0,0,1,0
Portals,0,0,0,0,0,0,0,1,0
Postal and Courier Services,0,0,0,0,0,0,0,1,0
Pre Seed,0,0,0,0,0,0,0,0,1
Predictive A0lytics,0,0,0,0,0,0,0,0,1
Presentations,0,0,0,0,0,0,0,1,0
Price Comparison,0,0,0,0,0,0,0,0,1
Printing,0,0,0,0,0,0,0,1,0
Privacy,0,0,0,0,0,0,0,1,0
Private School,0,0,0,0,0,0,0,1,0
Private Social Networking,0,0,0,0,0,0,1,0,0
Procurement,0,0,0,0,0,0,0,1,0
Product Design,0,0,0,0,0,0,0,1,0
Product Development Services,0,0,0,0,0,0,0,1,0
Productivity,0,0,0,0,0,0,0,1,0
Productivity Software,0,0,0,0,0,0,0,1,0
Professio0l Networking,0,0,0,0,0,0,1,0,0
Professio0l Services,0,0,0,0,0,0,0,1,0
Project Ma0gement,0,0,0,0,0,0,0,1,0
Promotio0l,0,0,0,0,0,0,0,0,1
Property Ma0gement,0,0,0,0,0,0,0,0,1
Public Relations,0,0,0,0,0,0,0,0,1
Public Safety,0,0,0,0,1,0,0,0,0
Public Transportation,0,0,0,0,1,0,0,0,0
Publishing,0,0,0,0,0,0,1,0,0
Q&A,0,0,0,0,0,0,1,0,0
QR Codes,0,0,0,0,0,0,0,1,0
Real Estate,0,0,0,0,0,0,0,1,0
Real Time,0,0,0,0,0,0,0,1,0
